timestamp,close_price,high-price,low-price,open_price,status,volume
1609718400,17.25,19.1,17.15,19.0,ok,10022474
1609804800,17.37,18.0765,17.23,17.35,ok,4961457
1609891200,18.36,18.98,17.33,17.34,ok,6056248
1609977600,18.08,19.45,18.02,18.47,ok,6129276
1610064000,17.69,18.3,17.08,18.18,ok,6481960
1610323200,19.94,20.65,19.01,19.41,ok,14927612
1610409600,19.95,20.4,19.3168,19.96,ok,7060665
1610496000,31.4,38.65,20.03,20.42,ok,144501736
1610582400,39.91,43.06,33.05,38.09,ok,93717410
1610668800,35.5,40.75,34.01,38.49,ok,46866358
1611014400,39.36,45.52,36.64,41.55,ok,74721924
1611100800,39.12,41.1899,36.06,37.37,ok,33471789
1611187200,43.03,44.75,37.0,39.23,ok,57079754
1611273600,65.01,76.7573,42.32,42.59,ok,197157946
1611532800,76.79,159.18,61.13,96.73,ok,177874000
1611619200,147.98,150.0,80.2,88.56,ok,178587974
1611705600,347.51,380.0,249.0,354.83,ok,93396666
1611792000,193.6,483.0,112.25,265.0,ok,58815805
1611878400,325.0,413.98,250.0,379.71,ok,50566055
1612137600,225.0,322.0,212.0,316.56,ok,37382152
1612224000,90.0,158.0,74.2201,140.76,ok,78183071
1612310400,92.41,113.3999,85.25,112.01,ok,42698511
1612396800,53.5,91.5,53.33,91.19,ok,62427275
1612483200,63.77,95.0,51.09,54.04,ok,81345013
1612742400,60.0,72.66,58.02,72.41,ok,25687282
1612828800,50.31,57.0,46.52,56.61,ok,26843082
1612915200,51.2,62.83,46.55,50.77,ok,36455036
1613001600,51.1,55.32,48.2201,50.01,ok,13056725
1613088000,52.4,55.24,48.05,50.75,ok,14573264
1613433600,49.51,53.5,49.04,52.66,ok,8175030
1613520000,45.94,51.19,44.56,49.77,ok,9260795
1613606400,40.69,48.87,40.65,48.49,ok,23990555
1613692800,40.59,43.89,38.5,41.28,ok,14828238
1613952000,46.0,48.51,42.4,46.69,ok,19476021
1614038400,44.97,46.23,40.0,44.97,ok,7565215
1614124800,91.71,91.71,44.7,44.7,ok,83111740
1614211200,108.73,184.68,101.0,169.56,ok,150308766
1614297600,101.74,142.9,86.0,117.46,ok,92194154
1614556800,120.4,133.99,99.97,104.54,ok,49793965
1614589200,107.01,111.0,104.11,107.5,ok,43277
1614589500,109.0,110.3,107.41,107.53,ok,32326
1614589800,107.11,108.72,107.11,108.69,ok,7713
1614590100,108.08,108.08,107.3,107.3,ok,6449
1614590700,105.99,107.0,104.21,107.0,ok,22600
1614591000,106.4,106.79,105.36,106.56,ok,7772
1614591300,105.71,106.12,105.51,106.12,ok,1460
1614591900,105.92,105.92,105.01,105.01,ok,2768
1614592800,104.45,105.74,104.45,105.74,ok,3366
1614593100,105.0,105.66,104.71,104.71,ok,5203
1614594000,105.62,105.92,105.5,105.9,ok,5042
1614595500,106.99,106.99,106.04,106.04,ok,1071
1614596100,106.17,106.5,105.72,106.5,ok,7181
1614597000,105.12,105.46,105.11,105.46,ok,1694
1614597600,106.0,106.5,106.0,106.5,ok,2209
1614597900,106.5,106.5,106.01,106.01,ok,554
1614598200,107.0,107.0,106.8,106.8,ok,2819
1614598500,106.61,107.0,106.61,107.0,ok,2448
1614600000,107.77,108.9,106.62,107.93,ok,52532
1614600300,107.47,108.0,106.53,108.0,ok,23464
1614600600,107.2,107.68,106.51,107.35,ok,33205
1614600900,107.99,108.35,107.49,107.5,ok,28230
1614601200,108.03,108.94,107.84,108.2,ok,20469
1614601500,108.0,108.01,107.57,108.0,ok,9681
1614601800,107.5,108.0,107.5,108.0,ok,12795
1614602100,107.06,107.51,107.04,107.51,ok,9552
