timestamp,cik,symbol,accessNumber,sentiment
1599631200,1326380,GME,0001326380-20-000119,"{'negative': 1.1103588354773188, 'polarity': 0.21904754201590013, 'positive': 0.8666215301286392, 'litigious': 0.3385240352064997, 'modal-weak': 0.5010155721056195, 'uncertainty': 1.056194989844279, 'constraining': 1.0697359512525388, 'modal-strong': 0.2979011509817197, 'modal-moderate': 0.12186865267433988}"
1591682400,1326380,GME,0001326380-20-000060,"{'negative': 1.130965844831486, 'polarity': 0.1803278035058017, 'positive': 0.81429540827867, 'litigious': 0.3619090703460756, 'modal-weak': 0.9952499434517076, 'uncertainty': 1.832164668627008, 'constraining': 0.6559601900022619, 'modal-strong': 0.2488124858629269, 'modal-moderate': 0.09047726758651888}"
1585288800,1326380,GME,0001326380-20-000022,"{'negative': 2.4277456647398843, 'polarity': -0.21092559231316976, 'positive': 0.7909948281107393, 'litigious': 0.7484027989047763, 'modal-weak': 1.143900212960146, 'uncertainty': 1.9348950410708847, 'constraining': 0.7909948281107393, 'modal-strong': 0.21904472163066627, 'modal-moderate': 0.1947064192272589}"
1576047600,1326380,GME,0001326380-19-000171,"{'negative': 1.6395931379990891, 'polarity': -0.12499995711590016, 'positive': 0.6376195536663124, 'litigious': 0.3339911947775922, 'modal-weak': 0.2580841050554122, 'uncertainty': 0.8653408228328526, 'constraining': 0.6831638074996205, 'modal-strong': 0.1518141794443601, 'modal-moderate': 0.1669955973887961}"
1568181600,1326380,GME,0001326380-19-000145,"{'negative': 1.6252683226004292, 'polarity': -0.16483510576623295, 'positive': 0.5826433609322293, 'litigious': 0.2299908003679853, 'modal-weak': 0.18399264029438825, 'uncertainty': 0.7513032812020852, 'constraining': 0.567310640907697, 'modal-strong': 0.12266176019625882, 'modal-moderate': 0.07666360012266175}"
